x,cdf
-5,2.8794e-07
-4.9,4.8106e-07
-4.8,7.9607e-07
-4.7,1.3048e-06
-4.6,2.1182e-06
-4.5,3.406e-06
-4.4,5.4244e-06
-4.3,8.5567e-06
-4.2,1.3369e-05
-4.1,2.069e-05
-4,3.1716e-05
-3.9,4.8157e-05
-3.8,7.2428e-05
-3.7,0.00010791
-3.6,0.00015925
-3.5,0.00023281
-3.4,0.00033715
-3.3,0.0004837
-3.2,0.00068748
-3.1,0.00096802
-3,0.0013504
-2.9,0.0018664
-2.8,0.0025558
-2.7,0.0034677
-2.6,0.004662
-2.5,0.0062105
-2.4,0.0081984
-2.3,0.010725
-2.2,0.013904
-2.1,0.017865
-2,0.022751
-1.9,0.028717
-1.8,0.035931
-1.7,0.044565
-1.6,0.054799
-1.5,0.066806
-1.4,0.080755
-1.3,0.096799
-1.2,0.11507
-1.1,0.13566
-1,0.15865
-0.9,0.18406
-0.8,0.21185
-0.7,0.24196
-0.6,0.27425
-0.5,0.30853
-0.4,0.34458
-0.3,0.38209
-0.2,0.42074
-0.1,0.46017
0,0.5
0.1,0.53983
0.2,0.57926
0.3,0.61791
0.4,0.65542
0.5,0.69147
0.6,0.72575
0.7,0.75804
0.8,0.78815
0.9,0.81594
1,0.84135
1.1,0.86434
1.2,0.88493
1.3,0.9032
1.4,0.91924
1.5,0.93319
1.6,0.9452
1.7,0.95543
1.8,0.96407
1.9,0.97128
2,0.97725
2.1,0.98213
2.2,0.9861
2.3,0.98927
2.4,0.9918
2.5,0.99379
2.6,0.99534
2.7,0.99653
2.8,0.99744
2.9,0.99813
3,0.99865
3.1,0.99903
3.2,0.99931
3.3,0.99952
3.4,0.99966
3.5,0.99977
3.6,0.99984
3.7,0.99989
3.8,0.99993
3.9,0.99995
4,0.99997
4.1,0.99998
4.2,0.99999
4.3,0.99999
4.4,0.99999
4.5,1
4.6,1
4.7,1
4.8,1
4.9,1
5,1
